Night_Number,NightCount,NightTPR
129,5671,716.9
130,1217,693.8
131,5232,711.5
132,63,5.5
133,1342,157.6
134,7909,962.3
135,2803,348
136,1981,248.1
137,13261,1616.6
138,12558,1536.2
139,8966,1112
140,12748,1794
141,11264,1498.9
142,6298,905.5
143,15,25.1
144,327,43.1
145,762,98.6
146,1702,223.1
147,7419,940.4
148,1351,222.2
149,9076,1166.8
150,8389,1072.7
151,3345,433.1
152,1310,328.5
153,361,53.7
154,119,22.1
155,708,95.3
156,2013,277.6
157,38,1.6
158,966,132.9
159,1261,170.5
160,2009,264.6
