Site,date,windSpeed,windBearing,windCat,date_j
ErieA,2016-04-03,7.492857142857143,264.57142857142856,3,94
ErieA,2016-04-04,6.887777777777778,165,2,95
ErieA,2016-04-05,3.6544444444444446,59,0,96
ErieA,2016-04-06,5.147777777777778,181,2,97
ErieA,2016-04-07,5.124444444444444,256.44444444444446,3,98
ErieA,2016-04-08,5.618888888888889,190.33333333333334,2,99
ErieA,2016-04-09,6.717777777777778,137.11111111111111,2,100
ErieA,2016-04-10,4.05,171.11111111111111,0,101
ErieA,2016-04-11,5.3966666666666665,239.55555555555554,3,102
ErieA,2016-04-12,3.371111111111111,235.22222222222223,0,103
ErieA,2016-04-13,2.148888888888889,95.88888888888889,0,104
ErieA,2016-04-14,3.312222222222222,53.22222222222222,0,105
ErieA,2016-04-15,1.9066666666666667,73.66666666666667,0,106
ErieA,2016-04-16,1.4922222222222221,81.44444444444444,0,107
ErieA,2016-04-17,0.5033333333333333,72.55555555555556,0,108
ErieA,2016-04-18,1.0455555555555556,235.11111111111111,0,109
ErieA,2016-04-19,3.67,24.88888888888889,0,110
ErieA,2016-04-20,3.6416666666666666,73.66666666666667,0,111
ErieA,2016-05-09,0.9566666666666667,77.66666666666667,0,130
ErieA,2016-05-10,2.9233333333333333,84.88888888888889,0,131
ErieA,2016-05-11,1.0222222222222221,108,0,132
ErieA,2016-05-12,1.988888888888889,174.11111111111111,0,133
ErieA,2016-05-13,4.385555555555555,235.11111111111111,0,134
ErieA,2016-05-14,6.36,231.88888888888889,3,135
ErieA,2016-05-15,5.481111111111111,256.6666666666667,3,136
ErieA,2016-05-16,4.121111111111111,224.22222222222223,0,137
ErieA,2016-05-17,2.9899999999999998,163.11111111111111,0,138
ErieA,2016-05-18,1.76,77.33333333333333,0,139
ErieA,2016-05-19,0.43,179.22222222222223,0,140
ErieA,2016-05-20,0.8977777777777778,101.77777777777777,0,141
ErieA,2016-05-21,1.9311111111111112,125.44444444444444,0,142
ErieA,2016-05-22,1.2355555555555555,214.77777777777777,0,143
ErieA,2016-05-23,0.8077777777777778,218,0,144
ErieA,2016-05-24,2.3355555555555556,205.77777777777777,0,145
ErieA,2016-05-25,3.048888888888889,192.66666666666666,0,146
ErieA,2016-05-26,4,193.55555555555554,0,147
ErieA,2016-05-27,3.14,199.11111111111111,0,148
ErieA,2016-05-28,1.9566666666666668,180.66666666666666,0,149
ErieA,2016-05-29,2.011111111111111,195,0,150
ErieA,2016-05-30,1.0777777777777777,221.11111111111111,0,151
ErieA,2016-05-31,1.1633333333333333,126,0,152
ErieA,2016-06-01,1.9388888888888889,143.22222222222223,0,153
ErieA,2016-06-02,1.6744444444444444,272,0,154
ErieA,2016-06-03,1.2733333333333334,258.6666666666667,0,155
ErieA,2016-06-04,2.167777777777778,164.33333333333334,0,156
ErieA,2016-06-05,4.122222222222223,218.55555555555554,0,157
ErieA,2016-06-06,4.416666666666666,245,0,158
ErieA,2016-06-07,5.112222222222222,295.77777777777777,3,159
ErieA,2016-06-08,6.288888888888889,316.6666666666667,4,160
ErieA,2016-06-09,2.207777777777778,291.44444444444446,0,161
ErieA,2016-06-10,2.95,168.55555555555554,0,162
ErieA,2016-06-11,6.431666666666667,234.33333333333334,3,163
ErieB,2016-03-31,9.823333333333334,229,3,91
ErieB,2016-04-01,9.963333333333333,226.88888888888889,3,92
ErieB,2016-04-02,11.592222222222222,261.22222222222223,3,93
ErieB,2016-04-03,11.7,229.77777777777777,3,94
ErieB,2016-04-04,10.817777777777778,150,2,95
ErieB,2016-04-05,6.432222222222222,62.666666666666664,1,96
ErieB,2016-04-06,9.836666666666666,162.11111111111111,2,97
ErieB,2016-04-07,13.37111111111111,228.55555555555554,3,98
ErieB,2016-04-08,11.545555555555556,206.11111111111111,2,99
ErieB,2016-04-09,10.322222222222223,120.22222222222223,1,100
ErieB,2016-04-10,7.073333333333333,201,2,101
ErieB,2016-04-11,10.193333333333333,229.44444444444446,3,102
ErieB,2016-04-12,5.29,189.11111111111111,2,103
ErieB,2016-04-13,3.401111111111111,106,0,104
ErieB,2016-04-14,6.618888888888889,61.111111111111114,1,105
ErieB,2016-04-15,3.9388888888888887,75.55555555555556,0,106
ErieB,2016-04-16,1.9677777777777778,98.11111111111111,0,107
ErieB,2016-04-17,1.5,134.77777777777777,0,108
ErieB,2016-04-18,2.62,204.88888888888889,0,109
ErieB,2016-04-19,6.325555555555556,46.888888888888886,1,110
ErieB,2016-04-20,2.2733333333333334,86.66666666666667,0,111
ErieB,2016-04-21,5.958888888888889,179.22222222222223,2,112
ErieB,2016-04-22,5.881111111111111,147.66666666666666,2,113
ErieB,2016-04-23,7.341111111111111,73.55555555555556,1,114
ErieB,2016-04-24,2.1755555555555555,NA,0,115
ErieB,2016-04-25,3.778888888888889,49.44444444444444,0,116
ErieB,2016-04-26,3.6733333333333333,127.55555555555556,0,117
ErieB,2016-04-27,4.328888888888889,78.33333333333333,0,118
ErieB,2016-04-28,7.95,64.11111111111111,1,119
ErieB,2016-04-29,5.21,98.66666666666667,1,120
ErieB,2016-04-30,3.011111111111111,121.44444444444444,0,121
ErieB,2016-05-01,6.0377777777777775,59.22222222222222,1,122
ErieB,2016-05-02,5.25,61.888888888888886,1,123
ErieB,2016-05-03,2.1466666666666665,94,0,124
ErieB,2016-05-04,3.1444444444444444,102,0,125
ErieB,2016-05-05,4.823333333333333,94.77777777777777,0,126
ErieB,2016-05-06,1.7633333333333334,218.88888888888889,0,127
ErieB,2016-05-07,3.7755555555555556,241.88888888888889,0,128
